[2026-04-03 21:11:59] OK    check: host WOL registrado: sv-backup1
[2026-04-03 21:11:59] OK    check: ping a 192.168.1.122 responde
[2026-04-03 21:11:59] OK    check: SSH a backup1 responde
[2026-04-03 21:11:59] OK    check: poweroff remoto no interactivo validado
[2026-04-03 21:11:59] INFO  check: todas las comprobaciones críticas pasaron
[2026-04-03 21:14:42] WARN  lock: otra ejecución de zfs-repl-backup1-nightly ya está en curso
[2026-04-03 21:19:25] INFO  check: iniciando comprobaciones comunes
[2026-04-03 21:19:25] OK    check: comando wol encontrado
[2026-04-03 21:19:25] OK    check: comando wolctl encontrado
[2026-04-03 21:19:25] OK    check: comando de réplica encontrado: /usr/local/bin/zfs-repl-backup1
[2026-04-03 21:19:25] OK    check: host WOL registrado: sv-backup1
[2026-04-03 21:19:25] INFO  check: iniciando comprobaciones online
[2026-04-03 21:19:25] OK    check: ping a 192.168.1.122 responde
[2026-04-03 21:19:26] OK    check: SSH a backup1 responde
[2026-04-03 21:19:26] OK    check: poweroff remoto no interactivo validado
[2026-04-03 21:19:26] INFO  check: comprobaciones online OK
[2026-04-03 21:19:26] INFO  check: todas las comprobaciones críticas pasaron
[2026-04-03 21:24:50] INFO  check: iniciando comprobaciones comunes
[2026-04-03 21:24:50] OK    check: comando wol encontrado
[2026-04-03 21:24:50] OK    check: comando wolctl encontrado
[2026-04-03 21:24:50] OK    check: comando de réplica encontrado: /usr/local/bin/zfs-repl-backup1
[2026-04-03 21:24:50] OK    check: host WOL registrado: sv-backup1
[2026-04-03 21:24:54] INFO  main: sv-backup1 estaba apagado; se iniciará por WOL
[2026-04-03 21:24:54] INFO  wake: enviando magic packet a sv-backup1
[2026-04-03 21:24:54] INFO  wake: intento 1/3 enviado
[2026-04-03 21:25:04] INFO  wake: intento 2/3 enviado
[2026-04-03 21:25:14] INFO  wake: intento 3/3 enviado
[2026-04-03 21:25:14] INFO  wake: esperando ping hasta 300s
[2026-04-03 21:27:52] OK    wake: ping recuperado
[2026-04-03 21:27:52] INFO  wake: esperando SSH hasta 300s
[2026-04-03 21:27:53] OK    wake: SSH recuperado
[2026-04-03 21:27:53] INFO  check: iniciando comprobaciones online
[2026-04-03 21:27:53] OK    check: ping a 192.168.1.122 responde
[2026-04-03 21:27:53] OK    check: SSH a backup1 responde
[2026-04-03 21:27:53] OK    check: poweroff remoto no interactivo validado
[2026-04-03 21:27:53] INFO  check: comprobaciones online OK
[2026-04-03 21:27:53] INFO  repl: lanzando réplica real
[2026-04-03 21:28:19] OK    repl: réplica finalizada
[2026-04-03 21:28:19] INFO  main: el host fue encendido por este wrapper; se apagará al final
[2026-04-03 21:28:19] INFO  shutdown: ordenando apagado remoto
[2026-04-03 21:28:19] INFO  shutdown: esperando caída completa hasta 180s
[2026-04-03 21:28:25] OK    shutdown: host apagado
[2026-04-03 21:28:25] INFO  shutdown: margen post-apagado 30s
[2026-04-03 21:28:55] INFO  shutdown: fin del ciclo
[2026-04-03 21:28:55] INFO  main: flujo completado correctamente
[2026-04-03 22:01:43] INFO  check: iniciando comprobaciones comunes
[2026-04-03 22:01:43] OK    check: comando wol encontrado
[2026-04-03 22:01:43] OK    check: comando wolctl encontrado
[2026-04-03 22:01:43] OK    check: comando de réplica encontrado: /usr/local/bin/zfs-repl-backup1
[2026-04-03 22:01:43] OK    check: host WOL registrado: sv-backup1
[2026-04-03 22:01:43] INFO  check: iniciando comprobaciones online
[2026-04-03 22:01:44] ERROR check: ping a 192.168.1.122 no responde
[2026-04-03 22:06:19] INFO  check: iniciando comprobaciones comunes
[2026-04-03 22:06:19] OK    check: comando wol encontrado
[2026-04-03 22:06:19] OK    check: comando wolctl encontrado
[2026-04-03 22:06:19] OK    check: comando de réplica encontrado: /usr/local/bin/zfs-repl-backup1
[2026-04-03 22:06:19] OK    check: host WOL registrado: sv-backup1
[2026-04-03 22:06:19] INFO  check: iniciando comprobaciones online
[2026-04-03 22:06:19] OK    check: ping a 192.168.1.122 responde
[2026-04-03 22:06:19] OK    check: SSH a backup1 responde
[2026-04-03 22:06:20] OK    check: poweroff remoto no interactivo validado
[2026-04-03 22:06:20] INFO  check: comprobaciones online OK
[2026-04-03 22:06:20] INFO  check: todas las comprobaciones críticas pasaron
